status,category,pref_type,location,preference_domain,key,value_type,value,notes
enabled,Evernote,application,user,com.evernote.Evernote,runHelperWithoutMainApp,bool,FALSE,
enabled,Evernote,application,user,com.evernote.Evernote,showsStatusBarItem,bool,FALSE,
,,,,,,,,
enabled,Parallels Desktop,application,user,com.parallels.Parallels Desktop,Application preferences.Check for updates,int,2,"Check for updates:  0 = Never, 1 = Once a day, 2 = week, 3 = month"
enabled,Parallels Desktop,application,user,com.parallels.Parallels Desktop,Application preferences.Dock icon,int,2,"Virtual machine Dock icons:  0 = OS Icon, 1 = Live Screenshot, 2 = None"
,,,,,,,,
enabled,Parallels Desktop,application,user,com.parallels.Parallels Desktop,Application preferences.Download updates automatically,bool,FALSE,Download updates automatically
enabled,Parallels Desktop,application,user,com.parallels.Parallels Desktop,Application preferences.Show Develop Menu,int,0,Show Develop Menu
enabled,Parallels Desktop,application,user,com.parallels.Parallels Desktop,Application preferences.Show Tray Icon,bool,TRUE,Show Parallels icon in the menu bar
disabled,Parallels Desktop,application,user,com.parallels.Parallels,Parallels.MainApp.Default 'ftp' App,string,com.apple.finder,
enabled,Parallels Desktop,application,user,com.parallels.Parallels,Parallels.MainApp.Default 'http' App,string,com.google.Chrome,
enabled,Parallels Desktop,application,user,com.parallels.Parallels,Parallels.MainApp.Default 'https' App,string,com.google.Chrome,
disabled,Parallels Desktop,application,user,com.parallels.Parallels,Parallels.MainApp.Default 'mailto' App,string,com.apple.safari,
enabled,Parallels Desktop,application,user,com.parallels.Parallels,Parallels.MainApp.Default 'ssh' App,string,com.apple.Terminal,
enabled,Parallels Desktop,application,user,com.parallels.Parallels,Parallels.MainApp.Default 'telnet' App,string,com.apple.Terminal,
,,,,,,,,
enabled,Sequel Pro,application,user,com.sequelpro.SequelPro,SUEnableAutomaticChecks,bool,FALSE,
enabled,Snagit 2022,application,user,com.TechSmith.Snagit2022,SUEnableAutomaticChecks,bool,FALSE,
,,,,,,,,
enabled,Visual Studio Code,application,user,com.microsoft.VSCode,ApplePressAndHoldEnabled,bool,FALSE,Fix VSCodeVim Key Repeat
